,city,latitude,longitude,temperature,windspeed,country,date,clouds,humidity
0,rikitea,-23.12,-134.97,73.33,13.44,PF,1603194851,13,78
1,zhezkazgan,47.8,67.71,59.02,6.98,KZ,1603194851,0,24
2,yellowknife,62.46,-114.35,25,5.01,CA,1603194851,83,79
3,huangchuan,32.13,115.04,61.03,3,CN,1603194851,100,70
4,new norfolk,-42.78,147.06,54,2.57,AU,1603194852,89,67
5,ngunguru,-35.62,174.5,55,7.58,NZ,1603194852,79,90
6,kapaa,22.08,-159.32,73.99,8.01,US,1603194852,7,80
7,verkhnyaya inta,65.98,60.31,23.61,4.92,RU,1603194852,100,97
8,sao filipe,14.9,-24.5,86.47,9.57,CV,1603194852,80,56
9,okhotsk,59.38,143.3,24.51,14.38,RU,1603194828,11,80
10,cape town,-33.93,18.42,68,12.75,ZA,1603194720,40,52
11,guerrero negro,27.98,-114.06,67.96,8.16,MX,1603194853,0,89
12,hobyo,5.35,48.53,83.7,18.97,SO,1603194853,7,70
13,yaan,7.38,8.57,89.46,3.22,NG,1603194553,15,60
14,loikaw,19.67,97.21,67.89,2.82,MM,1603194853,83,93
15,jamestown,42.1,-79.24,48,11.41,US,1603194853,90,100
16,albany,42.6,-73.97,59,7.38,US,1603194853,86,78
17,clyde river,70.47,-68.59,24.06,8.75,CA,1603194854,26,89
18,celestun,20.87,-90.4,79,9.28,MX,1603194854,0,83
19,yumen,40.28,97.2,50.49,13.27,CN,1603194786,4,37
20,ribeira grande,38.52,-28.7,66.2,9.17,PT,1603194855,40,59
21,araouane,18.9,-3.53,94.17,11.27,ML,1603194855,0,10
22,teguldet,57.31,88.17,35.26,8.23,RU,1603194855,100,96
23,ushuaia,-54.8,-68.3,35.6,25.28,AR,1603194855,75,80
24,bagdarin,54.43,113.6,21.69,6.87,RU,1603194855,35,85
25,liverpool,53.41,-2.98,64.99,14.99,GB,1603194855,75,63
26,alyangula,-13.85,136.42,82.4,6.93,AU,1603194856,57,69
27,hermanus,-34.42,19.23,64,4,ZA,1603194760,13,63
28,victoria,22.29,114.16,80.01,16.4,HK,1603194600,1,71
29,fomboni,-12.28,43.74,80.2,5.28,KM,1603194856,0,70
30,punta arenas,-53.15,-70.92,39.2,12.75,CL,1603194856,20,65
31,atuona,-9.8,-139.03,77.38,20.94,PF,1603194856,4,77
32,zhanakorgan,43.91,67.25,68.38,6.6,KZ,1603194857,0,23
33,salas,43.41,-6.26,70,2.59,ES,1603194857,99,77
34,shirgaon,19.7,72.7,83.98,7.74,IN,1603194857,74,79
35,atar,20.52,-13.05,94.33,13.29,MR,1603194758,0,19
36,saskylakh,71.92,114.08,21.4,4.25,RU,1603194814,93,97
37,lavrentiya,65.58,-171,33.75,5.53,RU,1603194858,0,87
38,mataura,-46.19,168.86,48,1.01,NZ,1603194858,86,79
39,traiguen,-38.25,-72.68,43.52,4.5,CL,1603194858,0,75
40,chuy,-33.7,-53.46,62.38,18.01,UY,1603194858,82,61
41,ust-maya,60.42,134.53,21.65,2.35,RU,1603194739,100,97
42,mehamn,71.04,27.85,37.4,11.41,NO,1603194727,40,74
43,hilo,19.73,-155.09,69.8,4.7,US,1603194845,20,83
44,tupik,54.43,119.93,30.04,2.53,RU,1603194860,100,98
45,iqaluit,63.75,-68.51,24.01,3,CA,1603194860,100,85
46,te anau,-45.42,167.72,37.94,1.28,NZ,1603194860,17,86
47,niigata,37.9,139.02,59,3.36,JP,1603194860,20,62
48,alice springs,-23.7,133.88,75.2,12.75,AU,1603194861,40,60
49,wabag,-5.48,143.7,54.88,1.99,PG,1603194861,100,93
50,hithadhoo,-0.6,73.08,83.28,13.18,MV,1603194861,53,76
51,shenjiamen,29.96,122.3,67.86,12.35,CN,1603194861,5,76
52,karratha,-20.74,116.85,71.33,12.77,AU,1603194861,0,83
53,bluff,-46.6,168.33,48,1.01,NZ,1603194861,74,79
54,mayumba,-3.43,10.66,79.92,8.88,GA,1603194861,95,81
55,haines junction,60.75,-137.51,25.9,3.09,CA,1603194862,100,83
56,margate,51.38,1.39,63,8.01,GB,1603194862,100,80
